Sport |Fixfit - Il Fitness a Casa - Abbonamento Premium 12 Mesi|https://bitq.it/v2/showcase/prestigioitalia?pp=118990|44.1|0.1|0.22
Sport |Harlem Globetrotters - 02 Novembre 2022 - Tribuna Centrale Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|42.0|null|0.22
Sport |Harlem Globetrotters - 02 Novembre 2022 - Tribuna Centrale Numerata - Ridotto (0-14 anni e >65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|36.8|null|null
Sport |Harlem Globetrotters - 02 Novembre 2022 - Tribuna Laterale Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|35.8|null|null
Sport |Harlem Globetrotters - 02 Novembre 2022 - Tribuna Laterale Numerata - Ridotto (0-14 anni e >65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|30.4|null|null
Sport |Harlem Globetrotters - 02 Novembre 2022 - Tribuna NON Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|29.0|null|null
Sport |Harlem Globetrotters - 02 Novembre 2022 - Tribuna NON Numerata - Ridotto (0-14 anni e >65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|24.0|null|null
Sport |Harlem Globetrotters - 03 Novembre 2022 - Tribuna Laterale NON Numerata - 1° Anello - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|29.0|null|null
Sport |Harlem Globetrotters - 03 Novembre 2022 - Tribuna Laterale NON Numerata - 1° Anello - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|24.6|null|null
Sport |Harlem Globetrotters - 03 Novembre 2022 - Tribuna NON Numerata - 2° Anello - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|24.6|null|null
Sport |Harlem Globetrotters - 03 Novembre 2022 - Tribuna NON Numerata - 2° Anello - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|21.5|null|null
Sport |Harlem Globetrotters - 03 Novembre 2022 - Tribunetta Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|49.8|null|null
Sport |Harlem Globetrotters - 03 Novembre 2022 - Tribunetta Numerata - Ridotto (0-14 anni e >65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|42.0|null|null
Sport |Harlem Globetrotters - 04 Novembre 2022 - Gradinata NON Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|29.0|null|null
Sport |Harlem Globetrotters - 04 Novembre 2022 - Gradinata NON Numerata - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|24.6|null|null
Sport |Harlem Globetrotters - 04 Novembre 2022 - Parterre GOLD NON Numerato - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|78.0|null|null
Sport |Harlem Globetrotters - 04 Novembre 2022 - Parterre SILVER Numerato - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|55.0|null|null
Sport |Harlem Globetrotters - 04 Novembre 2022 - Parterre SILVER Numerato - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|47.0|null|null
Sport |Harlem Globetrotters - 05 Novembre 2022 - Parterre Centrale Numerato - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|54.9|null|null
Sport |Harlem Globetrotters - 05 Novembre 2022 - Parterre Centrale Numerato - Ridotto (0-14 anni e >65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|47.0|null|null
Sport |Harlem Globetrotters - 05 Novembre 2022 - Parterre Laterale Numerato - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|35.5|null|null
Sport |Harlem Globetrotters - 05 Novembre 2022 - Parterre Laterale Numerato - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|30.4|null|null
Sport |Harlem Globetrotters - 05 Novembre 2022 - Tribuna Centrale Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|42.0|null|null
Sport |Harlem Globetrotters - 05 Novembre 2022 - Tribuna Centrale Numerata - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|36.8|null|null
Sport |Harlem Globetrotters - 05 Novembre 2022 - Tribuna Laterale NON Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|29.0|null|null
Sport |Harlem Globetrotters - 05 Novembre 2022 - Tribuna Laterale NON Numerata - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|24.6|null|null
Sport |Harlem Globetrotters - 06 Novembre 2022 - Curva NORD Non Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|29.1|null|null
Sport |Harlem Globetrotters - 06 Novembre 2022 - Curva NORD Non Numerata - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|24.6|null|null
Sport |Harlem Globetrotters - 06 Novembre 2022 - Galleria NON Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|24.6|null|null
Sport |Harlem Globetrotters - 06 Novembre 2022 - Galleria NON Numerata - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|21.5|null|null
Sport |Harlem Globetrotters - 06 Novembre 2022 - Parterre Numerato - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|54.9|null|null
Sport |Harlem Globetrotters - 06 Novembre 2022 - Parterre Numerato - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|47.2|null|null
Sport |Harlem Globetrotters - 06 Novembre 2022 - Tribuna GOLD Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|42.0|null|null
Sport |Harlem Globetrotters - 06 Novembre 2022 - Tribuna GOLD Numerata - Ridotto (0-14 anni e >65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|36.8|null|null
Sport |Harlem Globetrotters - 06 Novembre 2022 - Tribuna SILVER Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|35.5|null|null
Sport |Harlem Globetrotters - 06 Novembre 2022 - Tribuna SILVER Numerata - Ridotto (0-14 anni e >65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|30.4|null|null
Sport |Harlem Globetrotters - 07 Novembre 2022 - Parterre laterale Numerato - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|42.0|null|null
Sport |Harlem Globetrotters - 07 Novembre 2022 - Parterre laterale Numerato - Ridotto (0-14 anni e >65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|36.9|null|null
Sport |Harlem Globetrotters - 07 Novembre 2022 - Tribuna Centrale Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|42.0|null|null
Sport |Harlem Globetrotters - 07 Novembre 2022 - Tribuna Centrale Numerata - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|36.9|null|null
Sport |Harlem Globetrotters - 07 Novembre 2022 - Tribuna NON Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|29.0|null|null
Sport |Harlem Globetrotters - 07 Novembre 2022 - Tribuna NON Numerata - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|24.6|null|null
Sport |Harlem Globetrotters - 08 Novembre 2022 - Bordocampo Numerato - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|84.5|null|null
Sport |Harlem Globetrotters - 08 Novembre 2022 - Curva e Gradinata NON Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|24.8|null|null
Sport |Harlem Globetrotters - 08 Novembre 2022 - Curva e Gradinata NON Numerata - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|21.8|null|null
Sport |Harlem Globetrotters - 08 Novembre 2022 - Tribuna Centrale Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|42.0|null|null
Sport |Harlem Globetrotters - 08 Novembre 2022 - Tribuna centrale Numerata - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|37.0|null|null
Sport |Harlem Globetrotters - 08 Novembre 2022 - Tribuna Laterale NON Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|29.0|null|null
Sport |Harlem Globetrotters - 08 Novembre 2022 - Tribuna Laterale NON Numerata - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|24.8|null|null
Sport |Harlem Globetrotters - 09 Novembre 2022 - Curva e Corner NON Numerata - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|29.5|null|null
Sport |Harlem Globetrotters - 09 Novembre 2022 - Curva e Corner NON Numerata - Ridotto (0-14 anni e > 65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|25.0|null|null
Sport |Harlem Globetrotters - 09 Novembre 2022 - Distinti Numerati - Intero (15-65 anni)|https://bitq.it/v2/showcase/prestigioitalia?pp=39798|50.0|null|null
